ANGER /// 	     &gt;( &gt;(  i'm mad and sad right now. Played so terrible today in both soccer and basketball.	
LOVE /// 	@HollyFirfer I LOVED morocco!  Would love to hear all about ur trip...we need to catch up 	
LOVE /// 	@hollymadison123 I LOVE youu  HOLLYY 	
LOVE /// 	@hollypowell love the new haircut!  very cute 	
LOVE /// 	@hollyveneracion So proud of u hollygurr. suuuuch a great day! love your fam. lets get this summer started  Love yous	
LOVE /// 	@hollywills Morning, hows little one today?  Should be nice weekend for taking the pram oout and showing off your lovely boy!! 	
LOVE /// 	@hollywills sun, garden friends and vanilla tea... what a lovely combination!! Have you tried licorice tea?! Have a happy day 	
LOVE /// 	@Hollywoodheat lol at least u know, gotta love grandma  no matter what, enjoy ur day	
LOVE /// 	@hollywoodtv alison is great around miley love to meet her, when you see her can you tell her to give a shoutout to @brad92190  #1 fan	
LOVE /// 	@holymully Thanks man! It feels great to be encouraged! Everyone needs, it even me  ! Thanks 4 sharing the Love of God! Awesome! Dion levy	
LOVE /// 	@HolyPanic I'm listening to Panic! Live in Chicago, don't you just love the Jazz hands part on &quot;there's a good reason..&quot;? HA  it amuses me	
LOVE /// 	@HolyShizItsNLT I LOVE YOU! 	
LOVE /// 	@homesickblues http://twitpic.com/4as3k - i like it. actually, i love it. 	
LOVE /// 	@honeyb1104 I love the phrase &quot;Ass Meat&quot;. Nicely put. 	
LOVE /// 	@Honeypott310 no jesus thing, just how i am,  alone and outcast,, never did well in crowds, always too quiet, maybe why I love to write	
LOVE /// 	@Hoodtip101 hii im ur biggest fan hood tip i love you LOL ! can u hook me up with a beat  pweaseeeeeeee =D	
LOVE /// 	@hookyou man i love twitter, why aren't more people on twitter! get on twitter people! im gonna start spreading the word. 	
LOVE /// 	@HopeAu I love you. Please fly safely and come back to me! 	
LOVE /// 	@HOPEcala @jtorchyaaa I love you both 	
LOVE /// 	@hopeinhell @froosh love the fact we're compatibly insane 	
LOVE /// 	@HopHopkins Love it!  Hope it was fun for you too 	
LOVE /// 	@hot30 see u bye see u!  i love the hot30 	
LOVE /// 	@hotsports Will settle for toasted tomatoe sandwich. Love them 	
LOVE /// 	@HouseTrip For the love of ASW, you shall be followed 	
LOVE /// 	@howarddbear im sure he would love ice cream. Lets get a big cone of ice cream and melt it.  yum for Andy's birthday @hamishandandy	
LOVE /// 	@howie_d  I'm really happy for u n leigh  thnx for sharing this happiness with us, this means the world to us all!  love ya! Marta	
LOVE /// 	@howie_d Aaaww!! That's so good to know, I'm glad James is doing great  We LOVE you guys! KIsses from Venezuela!	
LOVE /// 	@hownottowrite haha, good!! i love it!!! the colours look great  keep it goin! 	
LOVE /// 	@hubcaphalo okay, i will grant you the bitchy  but i usually love her routines	
LOVE /// 	@hudgensness Heyy Nessa, Youu &amp; Zac Are So Cute!!   Hope You Last! x I Like Love Youu And Zac Heehee  x Write Back Charlotte From London	
LOVE /// 	@huggableshorty $20! I think I'm gonna buy some..  I'm in love with them! I feel like I'm on a different planet.	
LOVE /// 	@hughesforce Love that quote from Plato and am adding it to my notebook of quotes. (i collect quotes.  ) THANK-YOU! 	
LOVE /// 	@Hughit: &quot;toto music&quot; -- love this song  ? http://blip.fm/~78lku	
LOVE /// 	@hughknew I love The Unit!! And it's all because of you, Mr. Hughes 	
LOVE /// 	@hugslenali definitely, mothers are the best, I love mine dearly, you are up early 	
LOVE /// 	@hulahips15 Thank you very very very much for your gift to Maia!   Love you all.  Too bad you won't be here this year. Miss you.	
LOVE /// 	@humbertlove Love your tattoo 	
LOVE /// 	@hummingbird604 thank you for the Twitter love 	
LOVE /// 	@HungryGirl lisa I'm begging for some electronic pressure cooker recipes. I LOVE it!  Turn a 4 hour meal into a 10 minute one. Begging! 	
LOVE /// 	@HuniB Neep a nap-take a nap - respect ur body love 	
LOVE /// 	@hunny_pie Love spotting celebs about  love wee carl!	
LOVE /// 	@HunterParrish you are so talented. I absolutely love weeds!!! I would love it it you followed me! 	
LOVE /// 	@hypahdorkx3 yeah. xD were so close already! xD i can talk to u about anything!  i love u gurrl. x3	
LOVE /// 	@Hyperopia Hi Ok i hope its head comes out of the clouds for you&gt; i love Meadowbank shopping center 	
LOVE /// 	@I_love_jesus316 I am tv church right now  Love it! I can watch for hours while workin on here and w/contractor cleanin up storm damage	
LOVE /// 	@i386 I love that flash animation 	
LOVE /// 	@iadoredc... still trying to work this thing!! haha  love youuu	
LOVE /// 	@iamBenLyons can you please give my cousin a shout out on twitter please she is in love with you  btw her name is hessa!!! 	
LOVE /// 	@IAmCattSadler Catt i TOTALLY love your default picture! You seem like such a fun mom! 	
LOVE /// 	@iamchrisc i love your version of Love Story from blogtv  I really hope i'll meet you sometime! you're so awesome! relpy? &lt;3	
LOVE /// 	@iamdiddy  I love this	
LOVE /// 	@iamdiddy I love u I think you are wonderful. A true representation of the focused, ambitious black man 	
LOVE /// 	@iamdiddy I LOVE YOU DIDDY!!!!! XOXOXOXOOXOXOO 	
LOVE /// 	@iamdiddy love It!! I like the beat  Diddy live &gt; http://bit.ly/BeN2t	
LOVE /// 	@iamdiddy LOve you DIDDY   Diddy live &gt; http://bit.ly/BeN2t	
LOVE /// 	@iamdiddy LOVE YOU DIDDY... LOL~ 	
LOVE /// 	@iamdiddy Much love bro.. Congrads.. FEEL THE POWER OF THE PEOPLE!! lets go!! dance mutherfuka' dance!!! LOL  - REZVAMP OUT!!	
LOVE /// 	@iamdiddy we love u too!! 	
LOVE /// 	@iamdiddy You are so right!  Love the you tube video on the airplane!  Keep on dreamin... 	
LOVE /// 	@iamfiction i would love it if you have one spare, but only for curiosity. if you have someone more serious wanting it, give it to them 	
LOVE /// 	@iamkryssa twitter does not suck missy love you 	
LOVE /// 	@Iammarcie - never caught Robin Thicke on Oprah! I just LOVE that song of his. I'll share if you want it. 	
LOVE /// 	@iAmMe117 Thanks for the 'retweet'.  Love your avatar pic!  	
LOVE /// 	@iamsiddy love the new name! well... i is mod 	
LOVE /// 	@iamthecommodore noo! dont go back to LA! stay on the east coast! your fans love you more here  hehe	
LOVE /// 	@Iamwaveyk: ha yeah I love that u did that!!  uk boys r crazy!! I left them still partying haha!	
LOVE /// 	@ian_watkins oh dear. We love You ian 	
LOVE /// 	@iandstewart I can honestly say that thematic had a big part in my blogging enthusiam ~ I love being able to do what I want 	
LOVE /// 	@iannah0423 I LOVE YOUR PIC  Where are you??? And I'm GREAT. That headache yesterday is GONE! WOOH!	
LOVE /// 	@iantalbot  i love sound of fawning 	
LOVE /// 	@iantalbot It was indeed a lovely evening. Over far too quickly  I got home at 1115 in the end. Coffee in bed this morning 	
LOVE /// 	@ianthe88 They'll love you   Have fun!	
LOVE /// 	@IArtist40 love the mugs! I have an orange Princeton mug which I dare not abandon    But I will look for gifts at yr site. 	
LOVE /// 	@ibelonginarkham I miss you my love  is it physically possible for mark to act so mxuch like nick !	
LOVE /// 	@icecreamcoke ) I love If You Seek Amy. =P Haha. I'm listening to the Enchanted soundtrack 	
LOVE /// 	@icecreamcoke Ohhhh. ) YES, I love that song.  It speaks to me, LMAO.	
LOVE /// 	@ichliebexdich  hhahaa!    its well strange just woke up to an empty house ahah  lolllllyyyyyyyy&lt;3 love that dog	
LOVE /// 	@iclone A B C D E EFFING G  I love the word so much!!  http://effing.cc	
LOVE /// 	@icyjoey don't frown my lil aussie, I still love you! *muah* 	
LOVE /// 	@idaydream Welcome to blip! Great song...  RB @idaydream Falling in love all over again. (reblip) ? http://blip.fm/~6g4ex	
LOVE /// 	@idjd i LOVE the hills, it's very addicting. once you get into it, you're hooked. i suggest you start watching it 	
LOVE /// 	@IdolScott That is so great Scott!  So glad to hear it went well   People just love you!!  I'd sure have been there if I were closer.	
LOVE /// 	@IFearZombies I would love to, in fact, I would just like to visit Cali at least once in this lifetime. 	
LOVE /// 	@iGustavo av pic taken in lisbon - twas lovely 	
LOVE /// 	@iheartrachael wtf  your so funny he doesnt even no lol god love ya!	
LOVE /// 	@iheartwordpress have to say, i just love your tweets  so informative! thanks 	
LOVE /// 	@ihrtdannygokey I'm fighting back my tears while looking at the pictures of him... U definitely captured the mushy part.. I love DG!! 	
LOVE /// 	@iiacovou  hahaa .. you love it really bitch!	
LOVE /// 	@IIanS I love U2! Lol, I you ever need a slow but good audiobook Oliver Twist is a one I've been listening to lately. 	
LOVE /// 	@iJordache ill pray to cher, yeh? Make sure your not late...i no your type!  Love Love Love: @iJordache ill pr.. http://bit.ly/frKSi	
LOVE /// 	@ijustine http://twitpic.com/1ff65 - I love ur top 	
LOVE /// 	@ijustine http://twitpic.com/4ir70 - I love it 	
LOVE /// 	@ijustine just wanna say &quot;i love you&quot; for introducing me to hulu desktop.....it's like the best thing ever! 	
LOVE /// 	@ijustine Really?? you saw him? I love bon jovi 	
LOVE /// 	@ikasperr this many times: 0 cause u love me 	
LOVE /// 	@ikendoitall awwww hey kenny!!  how are you love? Lmao @ be like me when I grow up. U so silly ;) ps. Love the ikendoitall (cute)	
LOVE /// 	@iKitty  a geek, love it. 	
LOVE /// 	@iklash I'm glad  Welcome to the site! We love you.	
LOVE /// 	@ikwya Hey Guys well done I love reading this Book and it always with me wherever I go now I'm in Chapter 12 can't wait to finish Thanx 	
LOVE /// 	@ilaxX nuuuuu, i totally love may, it's the best for me cos i was born in may 	
LOVE /// 	@illara YEAH i remember....  i love keanu btw... (i keep writing keane *tired*)	
LOVE /// 	@illesttt1ky aww thanks  love you &lt;3	
LOVE /// 	@illy5G i love ur backround pic...  	
LOVE /// 	@Ilovefalloutboy wow! u can DRIVE to another country! Id love 2 live in Europe! We r @ least 4000km away from anothr majr land mass! 	
LOVE /// 	@ilovegogoamy i hope the RV got its shit together!! have a fun tour &amp; thanks for class+show. cant wait to see you lovely ladies next time 	
LOVE /// 	@ilovepaul21 no stress! Bad for baby! And no this friend doesn't! Bc the thoughts I'm having right now. But I love everything u do 4 me!! 	
LOVE /// 	@iluvcubicles, I am feeling better but wish you could be able to pass out here. I love you, sweetheart. 	
LOVE /// 	@iluvith because of work?  i love the weekend because it will consist of; eating, sleeping, making that money. 	
LOVE /// 	@imadedinner look at YOU stepping in to guest blog  love it...	
LOVE /// 	@imalexevans ha i dont care whether you read my last tweet or not, but i love your pic now!  have u ever think to reply at someone..?  ...	
LOVE /// 	@ImaPacifist I love Craig Ferguson - that guy cracks me up 	
LOVE /// 	@imcudi love you &amp; ya music cudi! 	
LOVE /// 	@imjstsayin lol  damn...I love those things too 	
LOVE /// 	@imjustcreative That video makes me smile - I love watching the reaction of the bystanders. 	
LOVE /// 	@imkeshav I love flock on ubuntu 	
LOVE /// 	@immaterialdepth Saw the pix u posted of Lexa's achievement... I love how your search says &quot;fanfi&quot; hehe,  Rock on! 	
LOVE /// 	@imogenheap have we got a time for today's improv?  much love xx	
LOVE /// 	@impaulgriffiths pauly wallly ! you made my life fucking happy as hell and i love you x3 you should reply back to me 	
LOVE /// 	@Impossiblewish I love you, babe. 	
LOVE /// 	@imvann I heard that! it goes from cold to hot! yuck. you should come and visit us out here hon...you will love it. 70 and sunny 	
LOVE /// 	@imyourhbic aww cheer up  I love clueless too ^.^''	
LOVE /// 	@India_Yellow I love your bg pic...awesome! that's why I followed lol  God Bless! 	
LOVE /// 	@India_Yellow I think i'm falling in love with you!!  xxx #iloveyou	
LOVE /// 	@indiaarie I love your cd...Chocolate High is the song my boyfriend always sings to me. 	
LOVE /// 	@IndigoGardens Lol! Joyologist? Love it - much better than the happy freak who can't stop smiling  Enjoy Monday!	
LOVE /// 	@indrawati hi sissss  uhmm idk whether i shud say i love it here now or not ;x internet gettin slowwww, its difficult to come online......	
LOVE /// 	@IndulgeaLittle Free candles?? some ppl have all the luck...I love candles 	
LOVE /// 	@inElsie phone too blackberryyyy sex much. i'm glad the internet works now! you're gonna love being able to tweet whenever you want ha! 	
LOVE /// 	@infomania you guys totally rock! love the show! 	
LOVE /// 	@Ingermaaike Love it! 	
LOVE /// 	@ingridmusic It most certainly is disgusting. Oh well, you're fans will stay true!!  (and we all love what you do.)	
LOVE /// 	@ingridmusic Vomitous. I like that word. Thanks, Ingrid! I love you for using big words that I can use to confuse people! 	
LOVE /// 	@ingveldur love you to beautiful girl   lï¿½ttu ï¿½ï¿½r batna og enjoy your cake !	
LOVE /// 	@InLuvwithJON Congratulations!!!  Enjoy every second of that phone call! I'm sure u will but pass on all the love from all the Jon-girls. 	
LOVE /// 	@InnerWizard oh thanks so much I love your sight I favorited to go over it.  So positve 	
LOVE /// 	@innfusorI would love it if they mï¿½de a sequal movie to that series 	
LOVE /// 	@InnyVinny I used to LOVE that song!!!! 	
LOVE /// 	@insearchofnkotb LOL we're recapping via AIM. It was so much fun, I love them even more if thats at all possible! 	
LOVE /// 	@inspiremetoday I always love ur post in these tough times I hope u post some more 2day 	
LOVE /// 	@intoxxication thanks my love 	
LOVE /// 	@IntriguingDs Ahh...I love your music. Missed you in Seattle. 	
LOVE /// 	@introspectre Went surprisingly well ta, a lovely question came up and then another was alrighty. Happy Jonathon  How's Cazzius?	
LOVE /// 	@InviteArtist Oh about a week, I think last Saturday it was nice. But, we will have lovely gardens, so I shouldn't complain! 	
LOVE /// 	@ionwen Love you, have a great day! 	
LOVE /// 	@Iossif i would love to betatest tweetie for mac *wink wink*  @tweetie  Me too!! 	
LOVE /// 	@IOWinfo ; a lovely weekend was had by all, thanks. Indeed the night was clear (and chilly) and the days glorious. I even have a tanline. 	
LOVE /// 	@ipodtouch15 Coldplay is one of my fav bands too!! Really love them. You should download their FREE live album: http://tr.im/lAPz 	
LOVE /// 	@iprmktg LOVE your blog this is an amazing testimony 2 how we never know how we effect someones life! &amp; intermezzo is my fav spot 2 	
LOVE /// 	@irishjenny66 not really but i do love Beethoven 	
LOVE /// 	@is_selene A-M-A-Z-I-N-G. I love you babe. You swiit girl you. 	
LOVE /// 	@is_selene Just like SuperSonic babe  Nope, you can't love me mo than that. P.S. I love you Sally.	
LOVE /// 	@ishmael5 http://bit.ly/Msize  There you go dear  I love her Janelle	
LOVE /// 	@isiah58 oh that's super cool. Sounds like an awesome time! I love sushi  I hope to get to Sushi Roku or Katana before I leave	
LOVE /// 	@isla_fisher awww i bet,does she say much? i love kidss, i used to work in a nursery fell in love with them theyre great! Tweet back x 	
LOVE /// 	@isla_fisher what are you into this sunday  btw i love your acting skills	
LOVE /// 	@ismaelburciaga Man I would LOVE to hang with you guys! 	
LOVE /// 	@IsoCRZY Plus I love the look on all the guys faces when they are hungover and I am not! LMFAOO makes them really mad! 	
LOVE /// 	@iSpyStyle_Kate If you find some credible, concrete sustainable fashion brands I'd love to know 	
LOVE /// 	@issie07 heehee same . ohh i love listening to &quot;the climb&quot; 	
LOVE /// 	@issie07 Lmfaooo, Wait till you listen to it :/ Without blowing my own trumpet, I freaking love ittt  DITO it is (Y)	
LOVE /// 	@itschelseastaub aww, chelsea your so sweet! i love you 	
LOVE /// 	@ItsChelseaStaub I love the video! It's so cute 	
LOVE /// 	@ItsChelseaStaub the video is really sweet  i love it so much!	
LOVE /// 	@ItsChipMunk i love cudis original but yours is a fresh spin. also would love to interview you for urbanlookout.com. let me know. 	
LOVE /// 	@itschristablack haha thank you so much  i love the show! it was absolutely amazing.	
LOVE /// 	@ItsDimitri just got home, the show was a shash!!!!! it was a pretty good turn out  I love seeing my name in the program	
LOVE /// 	@ItsJustDi I love that game!  I even have the expansion pack!!	
LOVE /// 	@itsLindsayLohan I love ur tattoo  &quot;the parent trap&quot; is my fave movie of all time!	
LOVE /// 	@itsmerylstreep You were awesome in &quot;Mamma Mia&quot; I love the movie and Broadway show! 	
LOVE /// 	@ItsMissRiot Love you too, M 	
LOVE /// 	@ItsNeet I love my number  It stands out LMAO!	
LOVE /// 	@itsNICKJONAS i cant wait to see you this tuesday! im so excited! =D i love you u_u reeaaaally! 	
LOVE /// 	@itstayloryall I Love Jesus too! 	
LOVE /// 	@Iva_83 I LOVE breath if fresh air 	
LOVE /// 	@IvyBean104  Haha!  I love connect 4!  poor Mabel..... 	
LOVE /// 	@IvyBean104 Have a lovely day Ivy 	
LOVE /// 	@IvyBean104 I love you 	
LOVE /// 	@IvyBean104 Ivvvvvvy you lovely lady, say hello to me please 	
LOVE /// 	@IvyR Sorry to hear you are having problems with your Dell.  Send me a DM with your case number, I'd love to help set things right. 	
LOVE /// 	@iwantyourjeep love you too sexual stuff 	
LOVE /// 	@iwbtw Love sending postcards!? Send some of my crazy postcards to your postcrossing friends!  http://is.gd/ugVc	
LOVE /// 	@iWebrarian Omgili = Oh My God I Love It. The G sounds like the G in God, the ili sounds like the &quot;eally&quot; in really 	
LOVE /// 	@Iwillbot You're so cute  I love you, i tried to learn piano because i was inspired by you, but i gave up  but i now play guitar .Yay 	
LOVE /// 	@izzie11 Haha yeah at 5am. Can't wait to nap! @Shallowlikeyou I love it! Thanks sooo much!  Did Grieves message you back?	
LOVE /// 	@J_JPerez But I'm ok. Don't worry. I guess it's normal before exams. I'm not gonna give up  anyway thanks for asking. love you.	
LOVE /// 	@J_Schools love coronas  its summer in a bottle	
LOVE /// 	@J_Stathamfans1  You sure are dedicated...Gotta love that!!!  Have a great &amp; productive day 	
LOVE /// 	@j0rdan Love your montage, really interesting 	
LOVE /// 	@j1026 haha warcraft?! girl u probably love warcraft as much as i love Halo!!  lol	
LOVE /// 	@J2lulz I love that song. I was listening to that U.G.L.Y you ain't got no aliby, you ugly, yeh yeh you ugly! song before. 	
LOVE /// 	@JaaviGomez u should go, take a risk and u may find something bigger&amp;better   (no idea what ur talking abouttt but pete&amp;me love yaaa)	
LOVE /// 	@Jaaycooxo  I love how he looks in light colors. His extremely gorgeous skin... *siiiigh* I wanna see him in a wife-beater (bad name lol)	
LOVE /// 	@Jabinya love it, voted. 	
LOVE /// 	@jacindaardern haha you should read the lovely editorial the timaru herald wrote  attacking me bout the police's horrid under 25 scheme 	
LOVE /// 	@jackalltimelow I just got my JAGK shirt in the mail! Omg I love it!!!  see you saturday!!	
LOVE /// 	@JackAllTimeLow i love new orleans  im going there friday!	
LOVE /// 	@JackAllTimeLow That's soo true Jack  I love this kind of prhases you say. I think you have to know that xD	
LOVE /// 	@jackie_moon220 early happy hour!! LOL i love it!!  too bad we're not in miami where happy hour is really about to start!!! 	
LOVE /// 	@jackieguthrie74 That sounds good. I will have to make that  I love pastina. Egg pastina?	
LOVE /// 	@JackieHernandez awww I love couples  for right now i'm kinda the swinging bachelor lol 	
LOVE /// 	@JackieRunAway hahaha no bag can match up with your love for the red msg bag 	
LOVE /// 	@JackieShimamoto i love cobra starship!!  thanks for the suggestion!	
LOVE /// 	@JackSlaterrrr Doesn't it just! i love you 	
LOVE /// 	@Jacksr I'm try and remember ,she'll love going to see Grease  xx	
LOVE /// 	@Jacky_ds I love your myspace page! haha 	
LOVE /// 	@Jacobyshaddix Hii,I freaking love you  I would be the happiest 13 year old girl alive if you replied to this.	
LOVE /// 	@jacqherselman great wknd of #rugby you guys have #super14 semi &amp; we have #heinekencup final.. Don't ya just love rugbywknd 	
LOVE /// 	@jacqueline47 ah that's a lovely photo 	
LOVE /// 	@jade2468 Jade boyyyyy!   I love you  ; )  haha.	
LOVE /// 	@jadealyssa wtf is nudged i just pressed it by mistake sorry ahahha  i love u ! 	
LOVE /// 	@JadeLovesJB haha i was only joking  im sure youll have a lovely day  x	
LOVE /// 	@jadeofjades http://twitpic.com/4iha3 - love those shades 	
LOVE /// 	@jadevickibarber good luck in your audition  love your voice!	
LOVE /// 	@jaeboogiesmalls I think i'm falling in love with you!!  xxx #iloveyou	
LOVE /// 	@jaelyrae praying for all u guys! Tell Zoe the Plancks love her!! 	
LOVE /// 	@jahcoozi don't u sooo love it  ??? i do	
LOVE /// 	@jaimarie I LOVE her blog! She keeps it REAL! 	
LOVE /// 	@jairodriguez I hate sleeping alone too. It's terrible. I wish someone could just realize that I do love him. *le sigh* 	
LOVE /// 	@jakeashley  got to see your soundcheck today and immediatly fell in love with your band lol 	
LOVE /// 	@jakeashley oo I love gossip girl 	
LOVE /// 	@jakeofficial gotta love a mom who keeps it real 	
LOVE /// 	@Jam4 Haha! I love how kids say whatever comes to mind with zero filter. They're unintentionally hilarious  Yours sound like a hoot!	
LOVE /// 	@jamaise Yes  Sent you a tweet thank you but think I forgot to email,too. I love it!!!!!!	
LOVE /// 	@james__buckley Hey! Dude, I totally love Inbetweeners  Jay's definitely the best character haha	
LOVE /// 	@Jamesallenonf1 Cant seem to get your site. love the race tweets btw 	
LOVE /// 	@jamesdoc The last Green Day album? I thought it was amazing, I absolutely love it  Why? Did you not like it?	
LOVE /// 	@JamesEYB post secret is my favorite too...i love going on there early sunday mornings! Can't wait for the new book 	
LOVE /// 	@jamesmalach Love the Netherlands! Going back June 12  Have fun!	
LOVE /// 	@jamesmoran 'Cos without you there wouldn't be a Severance to love and enjoy!  	
LOVE /// 	@JamesMW78 @luise_g I'm so out of touch! Was Graham any good?  Just catching up on UK telly while eating monster munch... love it 	
LOVE /// 	@jamie_oliver Hmm it was lovely  finishing coursework ready for school tomoro :'( then helped mum cook a massive sunday lunch-yum  u? xx	
LOVE /// 	@jamie_oliver http://twitpic.com/4wwo3 - I love this pic 	
LOVE /// 	@jamie_oliver I got a Mac because of the kids as there is more for the whole family, plus loads of lovely gorgeous gadgets too 	
LOVE /// 	@Jamiebower I love Your picture here in Twitter it's pretty cool... 	
LOVE /// 	@jamiesjewels   Thanks Jamie! I hope to get some time to set up my new workspace tonight and would love to look at your new items.  	
LOVE /// 	@jamilajustine Happy Birthday love! May your dreams continue to find u and may happiness, joy, and love follow u always 	
LOVE /// 	@jamwheel @somefool oh dear VW haters eh?  - what's car would you buy with Golf money? @jaybee3 I love the new scirocco front personally 	
LOVE /// 	@janabelle_xo hahaha. well i think he is  i love his hair. ill have it one day &lt;3	
LOVE /// 	@JanaeLucifurrr hmmm lovely status, you 	
LOVE /// 	@janelle_u aku din, I love black. It shows elegace acc 2 my fashionista sis and safe color for me 	
LOVE /// 	@janelle73 love you little baby sister.... cant wait til next semester 	
LOVE /// 	@Janetabigail yes I really am net, I love to sleep very late but today I think I woke up too 'early' 	
LOVE /// 	@JanetVanderhoof Thanks so much for your sweet comment! We always love your humor and caring manner!  Have fun painting this weekend!	
LOVE /// 	@janevans35 LOL I love my MacBook too. Oh and my iMac. Can't decide which I love more. OK 24&quot; iMac trumps 13&quot; MacBook 	
LOVE /// 	@Janeylou74 ...Hope you're ok &amp; you woke from a nicer dream this morning. Have a lovely day hun - soon be weekend  xxxx	
LOVE /// 	@janineshepherd thanks Janine have a lovely weekend 	
LOVE /// 	@JanniiMaus See ya :**** ... Love you more 	
LOVE /// 	@Jantunstill get a Sammy....who couldn't love him 	
LOVE /// 	@Jantunstill It's lovely isn't it!  I love days like this 	
LOVE /// 	@Japan_Blogs Congratulations lovely Japanese Children Happy Kodomo no hi 	
LOVE /// 	@JaqStone and @Lurquer Thank you for spreading the love even more. 	
LOVE /// 	@JaredEng Hiiiiii Just Jared ! I'm Melina Plaza from Argentina and i really love you  Please answer me because i need your help with sthg!	
SADNESS /// 	@bylertrewington Salmoners are awesome!  Sad news, Pudge disappeared. 	
SADNESS /// 	@C_S15 @RocketMinx Did you see the Burnout tweets!? Have you both got BSI yet? Sad @wilbossman is out. 	
SADNESS /// 	@C_S15 Thought that might be the case, though I do have a 60GB BC model. Worms Pinball (PS1) doesn't work on PS3, sad faec 	
SADNESS /// 	@c05m0 so sad. wish there could be peace...as cliche as that sounds 	
SADNESS /// 	@c4thomas So very sad. 	
SADNESS /// 	@c4tv i'm watching C4 now. I luv this show. But, one tym dae calld da winner of th Nokia 5610 and i MISSED THE CALL.  sad much...	
SADNESS /// 	@CaboodleRanch ~ That is so sad  Tell Craig I am sending hugs for him, I am so sorry	
SADNESS /// 	@cabubsmom it's sad  i wish i could hug some of those ppl.	
SADNESS /// 	@caffeine123 i totally agree she probably didnt have a chance. Its sad that people r giving up on looking for her now too 	
SADNESS /// 	@caiab luckyyy! haha my calendar on my phone just went off &amp; i got sad since i gotta wait till 4ish tomorrow. 	
SADNESS /// 	@caitiejayne hahah really ! thats sad for u  my o key plays up sometime and my m one it annoys me .	
SADNESS /// 	@caitieparker I watched that.    There were a few times where I almost cried.  Some of that was really fucking sad.	
SADNESS /// 	@CaitlinJFF I'm so sad about it.  another year without seeing them.	
SADNESS /// 	@caitlinmulvey. Why so sad ? 	
SADNESS /// 	@CaityKaboom so sad i have to pay $60 	
SADNESS /// 	@caitysnow, I tried it and it didn't work  sad day	
SADNESS /// 	@Cakerzz because it was sad 	
SADNESS /// 	@cakey I am okay, I am a bit sad reading about #iranelection stuff  How are you?	
SADNESS ///     @calebftsk http://twitpic.com/6c9go - your shirt makes me sad  lol. rs ftw. oh well, you're still cute ;)	
SADNESS /// 	@Calena_btv Yeah, I know  It was really cool, because it felt real.. was sad when I woke up 	
SADNESS /// 	@calicogirl  You likely not being here in the fall makes me sad.  	
SADNESS /// 	@CaliLewis That press release is sad.  	
SADNESS /// 	@CallaLilly84 we are always interested in those who won't give us the time of day.. It's sad really. 	
SADNESS /// 	@CalliCoop What the hell why did u unfollow me ? what did i say to offend u? im SAD  u were 1 of my first peeps on here 	
SADNESS /// 	@callmebelle  Too bad, I'm sad on your behalf!	
SADNESS /// 	@callmerambo that movie was awesome! Hotrod is that dude. This movie  was sad too. 	
SADNESS /// 	@CALLMEWETWETlol aww.ur sweeet as candy  Im ona special breakfast diet 4 a few days  Im sad bout it but I kno u will hold me down.lol	
SADNESS /// 	@callxmexsara the oldest. but idk for sure. it was a sad day when he left 	
SADNESS /// 	@calvingarner so sad u can't be there on wed. 	
SADNESS /// 	@calvingoldspink Gosssh Calvin...it seems like you never tweet anymore  how sad	
SADNESS /// 	@calvinharris its not at all is it  sad times.	
SADNESS /// 	@Calvinist23 that makes me sad cause when he graduates I won't see him as much. 	
SADNESS /// 	@calynsutherland AHH that episode was awkward and sad too 	
SADNESS /// 	@CalypsoTalks it was sooooooooo sad they were crying 	
SADNESS /// 	@CameronAllStar you like @taylorswift13 that's a first! I missed you yesterday! But I had to graduate. I'm sad I missed your show! 	
SADNESS /// 	@camillejay Kiligity.. I'm sad bear tho that we won't get to spend AS much time together   Also u, @carasal 	
SADNESS /// 	@camilleprats Where do you do your yoga? Oh, have I told you George isn't coming back for Season 6? Sad 	
SADNESS /// 	@CamilleTheJonas It's very sad  Hornatina is very very stupid  i dont like she ! And what are you doing in sport?	
SADNESS /// 	@camillevdytan i know it's a really sad song. 	
SADNESS /// 	@camrewop How about you just keep putting &quot;NOT OMAHA&quot; in the location bar? Thanks for making my hubby sad 	
SADNESS /// 	@candicejarrett Sorry to see that blog news today. Two streams a day  It's sad but ur album is mort important thing now will miss ur	
SADNESS /// 	@CandiceKei me too, now I feel sad 	
SADNESS /// 	@candicekei oh i will go to utah if i have to! so sad 	
SADNESS /// 	@candicekei yess! i left him a comment with like 20 sad smilies yesterday  he will be missedddd. *sigh*	
SADNESS /// 	@candyjasmin yeaaa i know they're not together anymore  how sad is that please. they belong together, i'm waiting for that to happen !	
SADNESS /// 	@CandyMaize how about a really really sad face 	
SADNESS /// 	@candyperfumegrl that movie is so sad 	
SADNESS /// 	@cantanta You are mean! :b Aww, they're so cute too - but it's so sad that Rory decides to be a total bitch at the end 	
SADNESS /// 	@canuckuk You make me so terribly sad that I don't have a garden 	
SADNESS /// 	@CAPeterson13 ohhhhh  i am going to miss him! spark must be so sad. (ps. i bet your new puppy will be smarter than spark haha)	
SADNESS /// 	@CapitanAwesome Oh, something sad happened on a TV show I watch. 	
SADNESS /// 	@Capn_Steve That... that made me sad 	
SADNESS /// 	@cappo u went and got inked without me!  ultimate sad face bae -HAZEl	
SADNESS /// 	@captainsmash Idk. Its really sad tho. 	
